Sample_ID,SampleID,Generation,planting_group,Treatment,G2_treatment,Mother_plant,G1_treatment,G1_G2,growth_chamber,shelf,extr_group,sample_type,species,Project,Genotype,Compartment,soil_type,soil_batch,longitude,latitude,environment,Location,Group,Replicate
G2_175,G2_175,G2,3,Drought,Drought,C15,Control,Control_Drought,1,bottom,g2_0121,sample,Phaseolus_vulgaris_L.,multigen,Red_Hawk,seed,agricultural,,,,growth_chamber,Michigan,Michigan_Red_Hawk,
G2_152,G2_152,G2,3,Drought,Drought,D5,Drought,Drought_Drought,1,top,g2_0121,sample,Phaseolus_vulgaris_L.,multigen,Red_Hawk,seed,agricultural,,,,growth_chamber,Michigan,Michigan_Red_Hawk,
G2_169,G2_169,G2,3,Nutrient,Nutrient,N3,Nutrient,Nutrient_Nutrient,1,top,g2_0121,sample,Phaseolus_vulgaris_L.,multigen,Red_Hawk,seed,agricultural,,,,growth_chamber,Michigan,Michigan_Red_Hawk,
G2_128,G2_128,G2,2,Nutrient,Nutrient,N2B,Nutrient,Nutrient_Nutrient,1,bottom,g2_0121,sample,Phaseolus_vulgaris_L.,multigen,Red_Hawk,seed,agricultural,,,,growth_chamber,Michigan,Michigan_Red_Hawk,
G2_162,G2_162,G2,3,Drought,Drought,N3,Nutrient,Nutrient_Drought,1,top,g2_0121,sample,Phaseolus_vulgaris_L.,multigen,Red_Hawk,seed,agricultural,,,,growth_chamber,Michigan,Michigan_Red_Hawk,
G2_168,G2_168,G2,3,Drought,Drought,D13,Drought,Drought_Drought,1,top,g2_0121,sample,Phaseolus_vulgaris_L.,multigen,Red_Hawk,seed,agricultural,,,,growth_chamber,Michigan,Michigan_Red_Hawk,
G2_109,G2_109,G2,2,Nutrient,Nutrient,C12,Control,Control_Nutrient,1,top,g2_0121,sample,Phaseolus_vulgaris_L.,multigen,Red_Hawk,seed,agricultural,,,,growth_chamber,Michigan,Michigan_Red_Hawk,
G2_157,G2_157,G2,3,Drought,Drought,C8,Control,Control_Drought,1,top,g2_0121,sample,Phaseolus_vulgaris_L.,multigen,Red_Hawk,seed,agricultural,,,,growth_chamber,Michigan,Michigan_Red_Hawk,
G2_156,G2_156,G2,3,Drought,Drought,N1B,Nutrient,Nutrient_Drought,1,top,g2_0121,sample,Phaseolus_vulgaris_L.,multigen,Red_Hawk,seed,agricultural,,,,growth_chamber,Michigan,Michigan_Red_Hawk,
G2_122,G2_122,G2,2,Nutrient,Nutrient,N5B,Nutrient,Nutrient_Nutrient,1,bottom,g2_0121,sample,Phaseolus_vulgaris_L.,multigen,Red_Hawk,seed,agricultural,,,,growth_chamber,Michigan,Michigan_Red_Hawk,
